kanji,meanings,radical,components,complexity
苧,hemp; flax,艸,一 亅 宀 艹,8
著,renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work,艸,日 耂 艹,11
貯,savings; store; lay in; keep; wear mustache,貝,一 貝 目 ハ 亅 宀,12
丁,"street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign",一,一 亅,2
兆,portent; 10**12; trillion; sign; omen; symptoms,儿,儿 冫,6
凋,wither; droop; lame,冫,口 土 冂 冫,10
喋,talk; chat; chatter,口,口 木 世,12
寵,affection; love; patronage,宀,月 立 宀,19
帖,quire (of paper); bundle of seaweed; counter for screens; notebook,巾,巾 口 卜,8
帳,notebook; account book; album; curtain; veil; net; tent,巾,巾 長,11
庁,government office,广,一 亅 广,5
弔,condolences; mourning; funeral,弓,｜ 弓,4
張,counter for bows & stringed instruments; stretch; spread; put up (tent),弓,弓 長,11
彫,carve; engrave; chisel,彡,口 土 冂 彡,11
徴,indications; sign; omen; symptom; collect; seek; refer to; question,彳,王 山 彳 攵 𠂉,14
懲,penal; chastise; punish; discipline,心,王 山 心 彳 攵 𠂉,18
挑,challenge; contend for; make love to,手,儿 冫 扌,9
暢,stretch,日,｜ 一 日 田 勿,14
朝,morning; dynasty; regime; epoch; period; (North) Korea,月,月 十 日,12
潮,tide; salt water; opportunity,水,月 十 氵 日,15
牒,label; genealogy; circular,片,片 木 世,13
町,town; village; block; street,田,一 田 亅,7
眺,stare; watch; look at; see; scrutinize,目,目 儿 冫,11
聴,listen; headstrong; naughty; careful inquiry,耳,耳 十 心 罒,17
脹,dilate; distend; bulge; fill out; swell,肉,月 長,12
腸,intestines; guts; bowels; viscera,肉,一 月 日 勿,13
蝶,butterfly,虫,虫 木 世,15
調,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate; harmonize; mediate,言,言 口 土 冂,15
諜,spy out; reconnoiter,言,言 木 世,16
超,transcend; super-; ultra-,走,口 走 土 刀,12
跳,hop; leap up; spring; jerk; prance; buck; splash; sputter; snap,足,口 足 儿 冫 止,13
銚,sake bottle,金,金 儿 冫,14
長,long; leader; superior; senior,長,長,8
頂,place on the head; receive; top of head; top; summit; peak,頁,一 貝 目 ハ 頁 亅,11
鳥,bird; chicken,鳥,鳥 灬,11
勅,imperial order,力,｜ 一 口 木 力,9
捗,make progress,手,ノ 止 小 扌,10
直,straightaway; honesty; frankness; fix; repair,目,十 目 ｜ 一,8
朕,majestic plural; imperial we,月,月 人 大 一 丷,10
沈,sink; be submerged; subside; be depressed; aloes,水,氵 尢 冖,7
珍,rare; curious; strange,玉,王 𠆢 彡,9
賃,fare; fee; hire; rent; wages; charge,貝,王 亻 貝 目 ハ,13
鎮,tranquilize; ancient peace-preservation centers,金,金 十 丷 目 一 ハ,18
陳,exhibit; state; relate; explain,阜,｜ 一 田 日 木 阝,11
津,haven; port; harbor; ferry,水,氵 聿,9
墜,crash; fall (down),土,土 丷 豕 阝,15
椎,chinquapin; mallet; spine,木,木 隹,12
槌,hammer; mallet,木,｜ 口 辶 木,13
追,chase; drive away; follow; pursue; meanwhile,辵,｜ 口 辶,9
鎚,hammer; mallet,金,｜ 金 口 辶,17
痛,pain; hurt; damage; bruise,疒,用 疒 マ,12
通,"traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.",辵,辶 用 マ,10
塚,hillock; mound,土,土 冖 豕,12
栂,hemlock; (kokuji),木,母 木 毋,9
掴,catch; seize; grasp; hold; arrest; capture,手,王 囗 扌 丶,11
槻,Zelkova tree,木,見 人 大 木 一 二,15
佃,cultivated rice field,人,亻 田,7
漬,pickling; soak; moisten; steep,水,貝 目 ハ 氵 土 亠 二,14
柘,wild mulberry,木,口 石 木,9
辻,crossing; crossroad; street corners; (kokuji),辵,辶 十,5
蔦,vine; ivy,艸,鳥 灬 艹,14
綴,compose; spell; write; bind (books),糸,糸 幺 小 又,14
鍔,sword guard; kettle brim,金,金 口 二 勹,17
椿,camellia,木,一 二 日 木 人 大,13
潰,crush; smash; break; dissipate,水,貝 目 ハ 氵 十 口 ｜ 一,15
坪,two-mat area; approx. thirty-six sq ft,土,干 土 丷,8
壷,jar; pot; hinge knuckle; one's aim,士,｜ 一 口 士 冖,11
嬬,mistress; weak,女,雨 而 女,17
紬,pongee (a knotted silk cloth),糸,｜ 糸 幺 小 日 田,11
爪,claw; nail; talon,爪,爪,4
吊,suspend; hang; wear (sword),口,巾 口,6
釣,angling; fish; catch; allure; ensnare,金,金 丶 勹,11
鶴,crane; stork,鳥,鳥 灬 隹 宀 冖,21
亭,pavilion; restaurant; mansion; arbor; cottage; vaudeville; music hall; stage name,亠,口 亅 亠 冖,9
低,lower; short; humble,人,亻 氏 一,7
停,halt; stopping,人,亻 口 亅 亠 冖 一,11
偵,spy,人,亻 貝 目 ハ 卜,11
剃,shave,刀,｜ ノ 刂 弓 丷,9
貞,upright; chastity; constancy; righteousness,貝,貝 目 ハ 卜,9
呈,display; offer; present; send; exhibit,口,王 口,7
堤,dike; bank; embankment,土,土 日 疋,12
定,determine; fix; establish; decide,宀,疋 宀,8
帝,sovereign; the emperor; god; creator,巾,巾 丷 立 亠 冖,9
底,bottom; sole; depth; bottom price; base; kind; sort,广,氏 广,8
庭,courtyard; garden; yard,广,王 广 廴,10
廷,courts; imperial court; government office,廴,王 廴 士,7
弟,younger brother; faithful service to elders,弓,｜ ノ 弓 丷,7
悌,serving our elders,心,｜ ノ 弓 丷 忄,10
抵,resist; reach; touch,手,氏 扌,8
挺,"bravely volunteer; counter for guns, inksticks, palanquins, rickshaws",手,王 廴 扌,10
提,propose; take along; carry in hand,手,日 疋 扌,12
梯,ladder; stairs; insatiable drinking,木,｜ ノ 弓 丷 木,11
汀,water's edge; shore; bank,水,一 氵 亅,5
碇,anchor; grapnel,石,口 石 疋 宀,13
禎,happiness; blessed; good fortune; auspicious,示,貝 目 ハ 卜 礻,13
程,extent; degree; law; formula; distance; limits; amount,禾,王 禾 口,12
締,tighten; tie; shut; lock; fasten,糸,巾 糸 幺 小 丷 立 亠 冖,15
艇,rowboat; small boat,舟,王 舟 廴,13
訂,revise; correct; decide,言,一 言 亅,9
諦,truth; clarity; abandon; give up,言,巾 言 丷 立 亠 冖,16
蹄,hoof,足,巾 口 足 丷 立 亠 冖 止,16
逓,relay; in turn; sending,辵,巾 辶 厂 二 ｜,10
邸,residence; mansion,邑,氏 阝,8
鄭,an ancient Chinese province,邑,大 酉 丷 阝,15
釘,nail; tack; peg,金,一 金 亅,10
鼎,three legged kettle,鼎,｜ 一 鼎 片 目 爿,13
泥,mud; mire; adhere to; be attached to,水,氵 匕 尸,8
摘,pinch; pick; pluck; trim; clip; summarize,手,口 十 丷 立 亠 冂 扌 啇,14
擢,excel in; surpass; pull out; select,手,ヨ 扌 隹,17
敵,enemy; foe; opponent,攴,口 十 丷 立 亠 冂 攵 啇 𠂉,15
滴,drip; drop,水,口 十 氵 丷 立 亠 冂 啇,14
的,bull's eye; mark; target; object; adjective ending,白,白 丶 勹,8
笛,flute; clarinet; pipe; whistle; bagpipe; piccolo,竹,｜ 竹 日 田 𠂉,11
適,suitable; occasional; rare; qualified; capable,辵,口 辶 十 丷 立 亠 冂 啇,14
鏑,arrowhead,金,金 口 十 丷 立 亠 冂 啇,19
溺,drown; indulge,水,弓 氵 冫,13
哲,philosophy; clear,口,斤 口 扌,10
徹,penetrate; clear; pierce; strike home; sit up (all night),彳,月 亠 厶 彳 攵 𠂉,15
撤,remove; withdraw; disarm; dismantle; reject; exclude,手,月 亠 厶 扌 攵 𠂉,15
轍,rut; wheel track,車,月 車 亠 厶 攵 𠂉,19
迭,transfer; alternation,辵,｜ ノ 一 牛 辶 矢 大 二 𠂉,8
鉄,iron,金,ノ 金 二 矢 大 𠂉,13
典,code; ceremony; law; rule,八,｜ 一 日 ハ,8
填,fill in,土,十 土 ハ 目,13
天,heavens; sky; imperial,大,一 大 二,4
展,unfold; expand,尸,｜ 衣 一 二 尸,10
店,store; shop,广,口 卜 广,8
添,annexed; accompany; marry; suit; meet; satisfy; attach; append; garnish; imitate,水,ノ 氵 心 大 一 二,11
纏,wear; wrap; tie; follow around; collect,糸,糸 幺 小 土 里 儿 广,21
甜,sweet,甘,甘 口 舌,11
貼,stick; paste; apply,貝,貝 目 ハ 口 卜,12
転,revolve; turn around; change,車,車 二 厶,11
顛,overturn; summit; origin,頁,貝 十 ハ 頁 目,19
点,spot; point; mark; speck; decimal point,火,口 卜 灬,9
伝,transmit; go along; walk along; follow; report; communicate; legend; tradition,人,亻 二 厶,6
殿,Mr.; hall; mansion; palace; temple; lord,殳,｜ 一 二 ハ 尸 殳 几 又,13
澱,sediment; grounds; dregs; stagnant,水,｜ 一 氵 二 ハ 尸 殳 几 又,16
田,rice field; rice paddy,田,田,5
電,electricity,雨,雨 田 乙,13
兎,rabbit; hare,儿,ノ 丶 儿 口 ｜,8
吐,spit; vomit; belch; confess; tell (lies),口,口 土,6
堵,fence; railing; enclosure,土,土 日 耂,11
塗,paint; plaster; daub; smear; coating,土,氵 土 ハ 𠆢 亅 木 一,13
妬,jealous; envy,女,口 女 石,8
屠,slaughter; butcher; slay,尸,日 耂 尸,11
徒,on foot; junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people,彳,走 土 彳,10
斗,Big Dipper; ten sho (vol); sake dipper; dots and cross radical (no. 68),斗,斗,4
杜,woods; grove,木,土 木,7
渡,transit; ford; ferry; cross; import; deliver; diameter; migrate,水,氵 又 广,12
登,ascend; climb up,癶,口 豆 丷 癶,12
菟,dodder (plant),艸,丶 儿 艹 勹 口 ｜,11
賭,gamble; wager; bet,貝,貝 目 ハ 日 耂,15
途,route; way; road,辵,辶 ハ 𠆢 亅 木 一,10
都,metropolis; capital; all; everything,邑,日 阝 耂,11
鍍,plating; gilding,金,金 又 广,17
砥,whetstone; grindstone,石,口 氏 石,10
砺,whetstone; polish,石,一 斤 口 石 厂,10
努,toil; diligent; as much as possible,力,女 又 力,7
度,degrees; occurrence; time; counter for occurrences; consider; attitude,广,又 广 一 凵,9
土,soil; earth; ground; Turkey,土,土,3
奴,guy; slave; manservant; fellow,女,女 又,5
怒,angry; be offended,心,女 心 又,9
倒,overthrow; fall; collapse; drop; break down,人,亻 刂 至 土 厶,10
党,party; faction; clique,儿,口 ⺌ 儿 冖,10
冬,winter,冫,夂 丶 攵,5
凍,frozen; congeal; refrigerate,冫,｜ 一 日 木 冫 田,10
刀,sword; saber; knife,刀,刀,2
唐,T'ang; China; foreign,口,｜ ヨ 一 口 广,10
塔,pagoda; tower; steeple,土,口 土 𠆢 艹 一,12
塘,dike; embankment,土,｜ ヨ 一 口 土 广,13
套,accumulate; big and long; hackneyed,大,大 長 厶,10
宕,cave,宀,口 石 宀,8
島,island,山,山 鳥 白,10
嶋,island,山,山 鳥 灬,14
悼,lament; grieve over,心,十 日 忄 卜,11
投,throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss,手,扌 殳 几 又,7
搭,board; load (a vehicle); ride,手,口 𠆢 扌 艹 一,12
東,east,木,｜ 一 日 木 田,8
桃,peach,木,木 儿 冫,10
梼,block of wood; blockhead; stupid,木,ノ 寸 木 土 亠 二,11
棟,ridgepole; ridge,木,｜ 一 日 木 田,12
盗,steal; rob; pilfer,皿,欠 皿 冫,11
淘,select,水,缶 氵 凵 勹,11
湯,hot water; bath; hot spring,水,｜ 一 氵 日 勿,12
涛,waves; billows,水,ノ 氵 寸 土 亠 二,10
灯,lamp; a light; light; counter for lights,火,一 火 亅,6
燈,lamp; light; counter for lights,火,口 豆 丷 癶 火,16
当,hit; right; appropriate; himself,彐,ヨ ⺌,6
痘,pox; smallpox,疒,口 豆 丷 疒,12
祷,pray,示,ノ 寸 礻 土 亠 二,11
等,etc.; and so forth; class (first); quality; equal; similar,竹,寸 竹 土 𠂉,12
答,solution; answer,竹,口 竹 𠆢 一 𠂉,12
筒,cylinder; pipe; tube; gun barrel; sleeve,竹,口 竹 冂 𠂉 一,12
糖,sugar,米,口 米 广,16
統,overall; relationship; ruling; governing,糸,糸 幺 小 亠 儿 厶,12
到,arrival; proceed; reach; attain; result in,刀,刂 至 土 厶,8
董,correct,艸,｜ 一 日 艹 里 ノ,12
蕩,melt; be charmed; captivated,艸,｜ 一 氵 日 艹 勿,15
藤,wisteria,艸,｜ 一 月 水 艹 二 大,18
討,chastise; attack; defeat; destroy; conquer,言,言 寸,10
謄,mimeograph; copy,言,｜ 一 月 言 二 大,17
豆,beans; pea; midget,豆,口 豆 丷,7
踏,step; trample; carry through; appraise; evade payment,足,口 水 足 日 止,15
逃,escape; flee; shirk; evade; set free,辵,辶 儿 冫,9
透,transparent; permeate; filter; penetrate,辵,ノ 禾 辶 乃,10
鐙,stirrup,金,金 口 豆 丷 癶,20
陶,pottery; porcelain,阜,缶 勹 阝,11
頭,head; counter for large animals,頁,貝 目 ハ 口 豆 丷 頁,16
騰,leaping up; jumping up; rising; advancing; going,馬,月 馬 丷 一 人 大 二 灬,20
闘,fight; war,門,口 寸 豆 丷 門,18
働,work; (kokuji),人,｜ 一 亻 力 日 ノ,13
動,move; motion; change; confusion; shift; shake,力,｜ 一 日 力 里 ノ,11
同,same; agree; equal,口,口 冂 一,6
堂,public chamber; hall,土,口 ⺌ 土 冖,11
導,guidance; leading; conduct; usher,寸,辶 自 寸 丷 首,15
憧,yearn after; long for; aspire to; admire; adore,心,忄 里 立,15
撞,thrust; pierce; stab; prick,手,里 立 扌,15
洞,den; cave; excavation,水,口 氵 冂 一,9
瞳,pupil (of eye),目,目 里 立,17
童,juvenile; child,立,里 立,12
胴,trunk; torso; hull (ship); hub of wheel,肉,月 口 冂 一,10
萄,grape vine; wild grape,艸,缶 勹 艹,11
道,road-way; street; district; journey; course; moral; teachings,辵,辶 自 丷 首,12
銅,copper,金,金 口 冂 一,14
峠,mountain peak; mountain pass; climax; crest; (kokuji),山,｜ 一 山 卜,9
鴇,wild goose; madam of a brothel; crested ibis,鳥,十 鳥 匕 灬,15
匿,hide; shelter; shield,匸,ノ 口 匚 艹,10
得,gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit,彳,寸 日 彳 一,11
徳,benevolence; virtue; goodness; commanding respect,彳,十 心 罒 彳,14
涜,defile; blaspheme; ditch,水,士 氵 儿 冖,10
特,special,牛,牛 寸 土,10
督,coach; command; urge; lead; supervise,目,小 卜 又 目,13
禿,become bald; bare; wear out; waste away; little girl employed at a brothel,禾,禾 儿,7
篤,fervent; kind; cordial; serious; deliberate,竹,竹 灬 馬 𠂉,16
毒,poison; virus; venom; germ; harm; injury; spite,毋,土 母 亠 毋 二,8
独,single; alone; spontaneously; Germany,犬,虫 犭,9
読,read,言,言 士 儿 冖,14
栃,horse chestnut; (kokuji),木,斤 木 厂,9
橡,horse chestnut,木,木 豕 勹 口 ｜,16
凸,convex; beetle brow; uneven,凵,｜ 一 冂 凵,5
突,stab; protruding; thrust; pierce; prick; collision; sudden,穴,穴 大 儿 宀,8
椴,fir,木,木 殳 几 又,13
届,deliver; reach; arrive; report; notify; forward,尸,｜ 日 尸 田,8
鳶,black kite; fireman; hook,鳥,鳥 弋 灬,14
苫,rush matting,艸,口 卜 艹,8
寅,sign of the tiger; 3-5AM; third sign of Chinese zodiac,宀,田 ハ 宀 一,11
酉,west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164),酉,酉,7
瀞,pure water; clear water; pool in a river,水,月 氵 青 土 亅 亠 ヨ 二,17
噸,tonnage; (kokuji),口,貝 目 ハ 口 頁 屯,16
屯,barracks; police station; camp; ton,屮,ノ 乙 凵 屯,4
惇,sincere; kind; considerate,心,口 子 忄 亠,11
敦,industry; kindliness,攴,口 子 亠 攵 𠂉,12
沌,primeval chaos,水,氵 屯,7
豚,pork; pig,豕,月 豕,11
遁,flee; escape; shirk; evade; set free,辵,斤 辶 十 目 厂,12
頓,suddenly; immediately; in a hurry; arrange; stay in place; bow; kowtow,頁,貝 目 ハ 頁 屯,13
呑,drink,口,ノ 口 大,7
曇,cloudy weather; cloud up,日,雨 二 日 厶,16
鈍,dull; slow; foolish; blunt,金,金 屯,12
奈,Nara; what?,大,示 二 小 大,8
那,what?,邑,刀 阝 二,7
内,inside; within; between; among; house; home,冂,人 冂,4
乍,though; notwithstanding; while; during; both; all,丿,｜ ノ 一 𠂉,5
凪,lull; calm; (kokuji),几,止 几,6
薙,mow down (the enemy),艸,矢 艹 隹 𠂉,16
謎,riddle; puzzle; enigma; hint; tip,言,言 辶 米,16
灘,open sea,水,氵 大 口 艹 隹 亠 二,21
捺,press; print; affix a seal; stamp,手,示 二 小 大 扌,11
鍋,pot; pan; kettle,金,金 口 冂,17
楢,oak,木,酉 丷 木,13
馴,get used to; experienced; tamed,馬,川 馬 灬,13
縄,straw rope; cord,糸,亀 糸 幺 小 田 乙 勹,15
畷,rice field ridge path,田,田 又,13
南,south,十,干 十 丷 冂,9
楠,camphor tree,木,干 十 丷 木 冂,13
軟,soft,車,欠 車,11
難,difficult; impossible; trouble; accident; defect,隹,艹 隹 大 口 亠 二,18
汝,you; thou,水,氵 女,6
二,two; two radical (no. 7),二,二,2
尼,nun,尸,匕 尸,5
弐,II; two; second,弋,一 弋 二,6
迩,approach; near; close,辵,ノ 辶 小 𠂉,8
匂,fragrant; stink; glow; insinuate; (kokuji),勹,勹 匕,4
賑,flourish; be bustling; prosperity,貝,貝 目 ハ 辰 衣,14
肉,meat,肉,肉 冂 人,6
虹,rainbow,虫,工 虫,9
廿,twenty,廾,｜ 一 凵,4
日,day; sun; Japan; counter for days,日,日,4
乳,milk; breasts,乙,乙 子 爪,8
入,enter; insert,入,入,2
如,likeness; like; such as; as if; better; best; equal,女,口 女,6
尿,urine,尸,水 尸,7
韮,leek,韭,韭 艹,12
任,responsibility; duty; term; entrust to; appoint,人,ノ 王 亻 士,6
妊,pregnancy,女,ノ 王 士 女,7
忍,endure; bear; put up with; conceal; secrete; spy; sneak,心,心 刀 丶,7
認,acknowledge; witness; discern; recognize; appreciate; believe,言,言 心 刀 丶,14
濡,get wet; damp; make love,水,雨 而 氵,17
禰,ancestral shrine,示,｜ 一 礻 冂 爻,18
祢,ancestral shrine,示,ノ 小 礻,9
寧,rather; preferably; peaceful; quiet; tranquility,宀,一 心 罒 亅 宀 皿,14
葱,stone leek; Welsh onion,艸,心 丶 艹 勿,12
猫,cat,犬,田 犭 艹,11
熱,heat; temperature; fever; mania; passion,火,土 九 丶 儿 灬,15
年,year; counter for years,干,ノ 一 干 𠂉,6
念,wish; sense; idea; thought; feeling; desire; attention,心,｜ 一 心 𠆢,8
捻,twirl; twist; play with,手,｜ 一 心 𠆢 扌,11
撚,twist; twine; kinky,手,犬 夕 扌 灬,15
燃,burn; blaze; glow,火,火 犬 夕 灬,16
粘,sticky; glutinous; greasy; persevere,米,口 米 卜,11
乃,from; possessive particle; whereupon; accordingly,丿,｜ ノ 一 乃,2
廼,in other words; thou; you; possessive particle,廴,西 廴,9
之,of; this,丿,乙 丶 亠 廴,3
埜,open country; field; wilderness,土,土 木,11
嚢,pouch; purse; bag,口,｜ 衣 一 口 ハ 亠 冖,18
悩,trouble; worry; in pain; distress; illness,心,⺌ 忄 凵,10
濃,concentrated; thick; dark; undiluted,水,｜ 衣 一 氵 辰 日 厂,16
納,settlement; obtain; reap; pay; supply; store,糸,糸 幺 小 人 冂,10
能,ability; talent; skill; capacity,肉,月 匕 厶,10
脳,brain; memory,肉,月 ⺌ 凵,11
膿,pus; fester; discharge,肉,｜ 衣 一 月 辰 日 厂,17
農,agriculture; farmers,辰,｜ 衣 一 辰 日 厂,13
覗,peep; peek; come in sight,見,見 口 亅 一,12
蚤,flea,虫,虫 又,10
巴,comma-design,己,乙 已 巴,4
把,grasp; faggot; bunch; counter for bundles,手,巴 扌,7
播,plant; sow,手,田 釆 米 扌,15
覇,hegemony; supremacy; leadership; champion,襾,革 月 西,19
杷,kind of rake; loquat,木,木 巴,8
波,waves; billows; Poland,水,氵 皮 又,8
派,faction; group; party; clique; sect; school,水,斤 氵 厂,9
琶,lute,玉,王 巴,12
破,rend; rip; tear; break; destroy; defeat; frustrate,石,口 石 皮 又,10
婆,old woman; grandma; wet nurse,女,氵 女 皮 又,11
罵,abuse; insult,网,馬 罒 灬,15
芭,banana,艸,巴 艹,7
馬,horse,馬,馬 灬,10
俳,haiku; actor,人,亻 非,10
廃,abolish; obsolete; cessation; discarding; abandon,广,二 儿 广 癶,12
拝,worship; adore; pray to,手,｜ 一 干 扌,8
排,repudiate; exclude; expel; reject; line up; arrange,手,非 扌,11
敗,failure; defeat; reversal,攴,貝 目 ハ 攵 𠂉,11
杯,counter for cupfuls; wine glass; glass; toast,木,｜ ノ 一 木 礻,8
盃,glass; cup,皿,ノ 一 皿,9
牌,label; signboard; medal; mahjong tiles,片,十 田 片,12
背,stature; height; back; behind; disobey; defy; go back on; rebel,肉,月 匕 爿,9
肺,lungs,肉,巾 月 亠,9
輩,comrade; fellow; people; companions,車,車 非,15
配,distribute; spouse; exile; rationing,酉,酉 已,10
倍,double; twice; times; fold,人,亻 口 立,10
培,cultivate; foster,土,口 土 立,11
媒,mediator; go-between,女,甘 女 木,12
梅,plum,木,母 木 毋 𠂉,10
楳,plum,木,甘 木,13
煤,soot; smoke dried,火,火 甘 木,13
狽,wolf; be flurried,犬,貝 目 ハ 犭,10
買,buy,貝,貝 目 ハ 罒,12
売,sell,士,士 儿 冖,7
賠,compensation; indemnify,貝,貝 目 ハ 口 立,15
陪,obeisance; follow; accompany; attend on,阜,口 立 阝,11
這,crawl; creep; grovel; trail (vines),辵,言 辶,10
蝿,fly,虫,亀 虫 田 乙 勹,15
秤,balances; scales; steelyard,禾,禾 干 丷,10
矧,feather (arrow),矢,｜ 弓 矢 𠂉,9
萩,bush clover,艸,火 禾 艹,12
伯,chief; count; earl; uncle; Brazil,人,亻 白,7
剥,come off; peel; fade; discolor,刀,ヨ 刂 水,10
博,Dr.; command; esteem; win acclaim; Ph.D.; exposition; fair,十,十 寸 田 丶,12
拍,clap; beat (music),手,白 扌,8
柏,oak; cypress,木,白 木,9
泊,overnight stay; put up at; ride at anchor,水,氵 白,8
白,white,白,白,5
箔,foil; gilt,竹,氵 竹 白 𠂉,14
粕,scrap; waste,米,白 米,11
舶,liner; ship,舟,舟 白,11
薄,dilute; thin; weak (tea); pampas grass,艸,十 氵 寸 田 丶 艹,16
迫,urge; force; imminent; spur on,辵,辶 白,8
曝,bleach; refine; expose; air,日,｜ 一 水 日 ハ,19
漠,vague; obscure; desert; wide,水,氵 大 日 艹,13
爆,bomb; burst open; pop; split,火,｜ 一 火 水 日 ハ 井,19
縛,truss; arrest; bind; tie; restrain,糸,糸 幺 小 十 寸 田 丶,16
莫,must not; do not; be not,艸,大 日 艹,10
駁,refutation; contradiction,馬,馬 爻 灬,14
麦,barley; wheat,麥,麦 夂 土 二 亠,7
函,box (archaic),凵,一 水 凵,8
箱,box; chest; case; bin; railway car,竹,竹 木 目 𠂉,15
硲,ravine; gorge; gap; (kokuji),石,口 石 谷 ハ 𠆢,12
箸,chopsticks,竹,竹 日 耂 𠂉,15
肇,beginning,聿,戸 攵 聿 一 尸 𠂉,14
筈,notch of an arrow; ought; must; should be; expected,竹,口 舌 竹 𠂉,12
櫨,wax tree; sumac,木,皿 田 卜 木 匕 厂 虍,20
幡,flag,巾,巾 田 釆 米,15
肌,texture; skin; body; grain,肉,月 几,6
畑,farm; field; garden; one's specialty; (kokuji),田,火 田,9
畠,field; farm; garden; (kokuji),田,田 白,10
八,eight; eight radical (no. 12),八,ハ,2
鉢,bowl; rice tub; pot; crown,金,一 金 木,13
溌,sprinkle; lively; vigorous,水,二 氵 儿 癶,12
発,departure; discharge; publish; emit; start from; disclose; counter for gunshots,癶,二 儿 癶,9
醗,fermentation; brewing,酉,二 酉 儿 癶,16
髪,hair of the head,髟,夂 一 長 彡 髟,14
伐,fell; strike; attack; punish,人,亻 戈,6
罰,penalty; punishment,网,刂 言 罒,14
抜,slip out; extract; pull out; pilfer; quote; remove; omit,手,夂 亠 扌 又,7
筏,raft,竹,亻 竹 戈 𠂉,12
閥,clique; lineage; pedigree; faction; clan,門,亻 門 戈,14
鳩,pigeon; dove,鳥,九 鳥 灬,13
噺,talk; (kokuji),口,斤 口 辛 丷 木 立 亠,16
塙,projecting tableland or mountain,土,口 高 土 亠 冂,13
蛤,clam,虫,口 虫 𠆢 一,12
隼,falcon,隹,十 隹,10
伴,consort; accompany; bring with; companion,人,｜ 亻 二 丷 十,7
判,judgement; judgment; signature; stamp; seal,刀,｜ 刂 二 丷 十,7
半,half; middle; odd number; semi-; part-,十,｜ 二 丷 十,5
反,anti-,又,又 厂,4
叛,disobey; defy; go back on; rebel; rebellion,又,丷 又 厂,9
帆,sail,巾,巾 丶 几,6
搬,conveyor; carry; transport,手,舟 扌 殳 几 又,13
斑,spot; blemish; speck; patches,文,王 文,12
板,plank; board; plate; stage,木,又 木 厂,8
氾,spread out; wide,水,乙 氵 卩,5
汎,pan-,水,氵 丶 几,6
版,printing block; printing plate; edition; impression; label,片,片 又 厂,8
犯,crime; sin; offense,犬,乙 犭 卩,5
班,squad; corps; unit; group,玉,王 刂,10
畔,paddy ridge; levee,田,｜ 田 二 丷 十,10
繁,luxuriant; thick; overgrown; frequency; complexity; trouble,糸,糸 幺 小 母 攵 毋 𠂉,16
般,carrier; carry; all; general; sort; kind,舟,舟 殳 几 又,10
藩,clan; enclosure,艸,氵 田 釆 米 艹,18
販,marketing; sell; trade,貝,貝 目 ハ 又 厂,11
範,pattern; example; model,竹,乙 車 竹 卩 𠂉,15
釆,separate; divide; topped rice radical (no. 165),釆,釆 米,7
煩,anxiety; trouble; worry; pain; ill; annoy; nuisance; irksome,火,火 貝 目 ハ 頁,13
頒,distribute; disseminate; partition; understand,頁,貝 目 刀 ハ 頁,13
飯,meal; boiled rice,食,食 又 厂,12
挽,saw; turn (lathe); grind,手,｜ 一 免 儿 扌 勹,10
晩,nightfall; night,日,免 日 儿 勹,12
番,turn; number in a series,田,田 釆 米,12
盤,tray; shallow bowl; platter; tub; board; phonograph record,皿,皿 舟 殳 几 又,15
磐,rock; crag; cliff; wall (in a mine),石,口 舟 石 殳 几 又,15
蕃,grow luxuriously,艸,田 釆 米 艹,15
蛮,barbarian,虫,虫 亠,12
匪,negation; wicked person,匚,非 匚,10
卑,lowly; base; vile; vulgar; despise,十,十 田,9
否,negate; no; noes; refuse; decline; deny,口,ノ 一 口 ｜ 丶,7
妃,queen; princess,女,女 已,6
庇,protect; shield; defend; eaves; canopy; penthouse; visor,广,比 广,7
彼,he; that; the,彳,皮 又 彳,8
悲,grieve; sad; deplore; regret,心,心 非,12
扉,front door; title page; front page,戶,戸 非 一 尸,12
批,criticism; strike,手,比 扌,7
披,expose; open,手,皮 又 扌,8
斐,beautiful; patterned,文,非 文,12
比,compare; race; ratio; Philippines,比,比,4
泌,ooze; flow; soak in; penetrate; secrete,水,ノ 氵 心 丶,8
疲,exhausted; tire; weary,疒,皮 又 疒,10
皮,pelt; skin; hide; leather; skin radical (no. 107),皮,皮 又,5
碑,tombstone; monument,石,口 十 石 田,14
秘,secret; conceal,禾,ノ 禾 心 丶,10
緋,scarlet; cardinal,糸,糸 幺 小 非,14
罷,quit; stop; leave; withdraw; go,网,月 罒 匕 厶,15
肥,fertilizer; get fat; fertile; manure; pamper,肉,月 巴,8
被,incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving,衣,衤 皮 又,10
誹,ridicule; slander,言,言 非,15
費,expense; cost; spend; consume; waste,貝,｜ 貝 目 ハ 弓,12
避,evade; avoid; avert; ward off; shirk; shun,辵,口 辶 十 辛 立 尸,16
