kanji,meanings,radical,components,complexity
雨,rain,雨,雨,8
卯,sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east,卩,卩,5
鵜,cormorant,鳥,｜ ノ 弓 鳥 丷 灬,18
窺,lie in wait; spy on; reconnoiter,穴,見 ハ 宀 一 大 穴 二 儿,16
丑,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac,一,｜ ノ 一,4
碓,pestle,石,口 石 隹,13
臼,mortar,臼,臼,6
渦,whirlpool; eddy; vortex,水,｜ 口 氵 冂,12
嘘,lie; falsehood,口,口 卜 匕 厂 虍,14
唄,song; ballad,口,貝 目 ハ 口,10
欝,gloom; depression; melancholy,木,艮 寸 罒 木,26
蔚,dense growth,艸,示 二 小 寸 尸 艹,14
鰻,eel,魚,魚 田 日 罒 又 灬,22
姥,old woman,女,女 耂 匕,9
厩,barn; stable,厂,牙 艮 儿 厂,12
浦,bay; creek; inlet; gulf; beach; seacoast,水,十 氵 用 丶,10
瓜,melon,瓜,瓜 厶,6
閏,intercalation; illegitimate throne,門,王 門,12
噂,rumor; gossip; hearsay,口,口 寸 西 丷,15
云,say,二,一 二 厶,4
運,carry; luck; destiny; fate; lot; transport; progress; advance,辵,辶 車 冖,12
雲,cloud,雨,一 雨 二 厶,12
荏,bean; perilla; herb; soft; pliable,艸,亻 士 艹,9
餌,food; bait; prey; tempting profit,食,艮 耳 食,14
叡,intelligence; imperial,又,ハ 卜 又 目 冖,16
営,camp; perform; build; conduct (business),口,口 ⺌ 冖 ノ,12
嬰,sharp (music); baby,女,貝 目 ハ 女,17
影,shadow; silhouette; phantom,彡,口 小 日 亠 彡,15
映,reflect; reflection; projection,日,ノ 日 大 冖,9
曳,pull; tug; jerk; admit; install; quote; refer to,曰,乙 日,6
栄,flourish; prosperity; honor; glory; splendor,木,⺌ 木 冖,9
永,eternity; long; lengthy,水,水 丶,5
泳,swim,水,氵 水 丶,8
洩,leak; escape,水,ノ 乙 氵 日,9
瑛,sparkle of jewelry; crystal,玉,ノ 王 艹 大 冖,12
盈,fullness; enough; pride; satisfy,皿,ノ 一 皿 又,9
穎,heads of grain; cleverness,禾,禾 貝 目 ハ 頁 匕,16
頴,heads of grain; cleverness,示,貝 目 ハ 示 二 小 頁 匕,16
英,England; English; hero; outstanding; calyx,艸,ノ 艹 大 冖,8
衛,defense; protection,行,口 行 彳 韋,16
詠,recitation; poem; song; composing,言,言 水 丶,12
鋭,pointed; sharpness; edge; weapon; sharp; violent,金,金 口 丷 𠆢 儿,15
液,fluid; liquid; juice; sap; secretion,水,亻 氵 亠 攵 夕 𠂉,11
疫,epidemic,疒,殳 疒 几 又,9
益,benefit; gain; profit; advantage,皿,一 皿 ハ 丷,10
駅,station,馬,馬 尸 灬 丶,14
悦,ecstasy; joy; rapture,心,口 丷 忄 儿,10
謁,audience; audience (with king),言,言 日 勹 匕,15
越,surpass; cross over; move to; exceed; Vietnam,走,走 土 戈,12
閲,review; inspection; revision,門,口 丷 門 儿,15
榎,lotus tree; nettle tree; hackberry,木,一 自 木 目 夂,14
厭,get tired of; satiate; bore; dislike; disagreeable; unwelcome,厂,月 犬 日 厂,14
円,circle; yen; round,冂,冂 亠 一 ｜,4
園,park; garden; yard; farm,囗,衣 口 土 囗,13
堰,dam; prevent; stop up,土,女 土 日 匚,12
奄,cover; suffocate; obstruct,大,乙 大 日 奄,8
宴,banquet; feast; party,宀,女 日 宀,10
延,prolong; stretching,廴,一 止 廴,8
怨,grudge; show resentment; be jealous,心,心 夕 卩,9
掩,cover; conceal,手,乙 大 日 扌 奄,11
援,abet; help; save,手,ノ 一 爪 又 扌,12
沿,run alongside; follow along; run along; lie along,水,口 氵 ハ,8
演,performance; act; play; render; stage,水,氵 田 ハ 宀 一,14
炎,inflammation; flame; blaze,火,火,8
焔,flame; blaze,火,｜ 火 日 勹,11
煙,smoke,火,火 西 土,13
燕,swallow (bird),火,口 匕 灬 爿 艹,16
猿,monkey,犬,衣 口 土 犭,13
縁,affinity; relation; connection; edge; border; verge; brink,糸,ヨ 糸 幺 小 豕,15
艶,glossy; luster; glaze; polish; charm; colorful; captivating,色,｜ 口 色 豆 日 丷 勹,19
苑,garden; farm; park,艸,夕 卩 艹,8
薗,garden; yard; farm,艸,衣 口 土 囗 艹,16
遠,distant; far,辵,衣 口 辶 土,13
鉛,lead,金,金 口 丷 ハ,13
鴛,male mandarin duck,鳥,鳥 夕 卩 灬,16
塩,salt,土,口 皿 土 ノ 一 人 𠂉,13
於,at; in; on; as for,方,方 𠆢,8
汚,dirty; pollute; disgrace; rape; defile,水,一 氵 勹 二,6
甥,nephew,生,生 田 力,12
凹,concave; hollow; sunken,凵,凵,5
央,center; middle,大,ノ 一 大 冖,5
奥,heart; interior,大,大 米 冂,12
往,journey; travel; chase away; let go; going; before; formerly,彳,王 丶 彳,8
応,apply; answer; yes; OK; reply; accept,心,心 广,7
押,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of,手,｜ 日 扌 田,8
旺,flourishing; successful; beautiful; vigorous,日,王 日,8
横,sideways; side; horizontal; width; woof; unreasonable; perverse,木,｜ 黄 田 二 日 ハ 木 廾,15
欧,Europe,欠,欠 匚 ノ 丶,8
殴,assault; hit; beat; thrash,殳,ノ 丶 匚 殳 几 又,8
王,king; rule; magnate,玉,王,4
翁,venerable old man,羽,羽 ハ 冫 厶,10
襖,opaque sliding door,衣,衤 大 米 冂 釆,17
鴬,nightingale; bush warbler,鳥,⺌ 鳥 冖 灬,16
鴎,seagull,鳥,鳥 匚 灬 ノ 丶,15
黄,yellow,黃,黄 田 ハ,11
岡,mount; hill; knoll,山,丷 冂 一 山 岡,8
沖,open sea; offing; rise high into sky,水,｜ 氵 口,7
荻,reed; rush,艸,火 犭 艹,10
億,hundred million; 10**8,人,音 亻 心 日 立,15
屋,roof; house; shop; dealer; seller,尸,至 土 厶 尸,9
憶,recollection; think; remember,心,音 心 日 忄 立,16
臆,timidity; heart; mind; fear; cowardly,肉,音 月 心 日 立,17
桶,tub; bucket,木,木 用 マ,11
牡,male,牛,牛 土,7
乙,the latter; duplicate; strange; witty; fishhook radical (no. 5),乙,乙,1
俺,I; myself,人,乙 亻 大 奄,10
卸,wholesale,卩,ノ 止 卩 𠂉,9
恩,grace; kindness; goodness; favor; mercy; blessing; benefit,心,心 大 囗,10
温,warm,水,皿 氵 日,12
穏,calm; quiet; moderation,禾,ヨ 禾 心 爪,16
音,sound; noise,音,音 日 立,9
下,below; down; descend; give; low; inferior,一,｜ 一 卜,3
化,change; take the form of; influence; enchant; delude; -ization,匕,亻 匕,4
仮,sham; temporary; interim; assumed (name); informal,人,亻 又 厂,6
何,what,人,亻 口 亅 一,7
伽,nursing; attending; entertainer,人,亻 口 力,7
価,value; price,人,亻 西,8
佳,excellent; beautiful; good; pleasing; skilled,人,亻 土,8
加,add; addition; increase; join; include; Canada,力,口 力,5
可,can; passable; approval,口,一 口 亅,5
嘉,applaud; praise; esteem; happy; auspicious,口,口 士 力,14
夏,summer,夊,一 自 夂 目,10
嫁,marry into; bride,女,女 宀 豕,13
家,house; home; family; professional; expert; performer,宀,宀 豕,10
寡,widow; minority; few,宀,一 自 刀 ハ 宀,14
科,department; course; section,禾,禾 斗,9
暇,spare time; rest; leisure; time; leave of absence,日,日 又,13
果,fruit; reward; carry out; achieve; complete; end; finish; succeed,木,｜ 田 木,8
架,erect; frame; mount; support; shelf; construct,木,口 木 力,9
歌,song; sing,欠,一 欠 口 亅,14
河,river,水,口 氵 亅 一,8
火,fire,火,火,4
珂,jewel,玉,王 口 亅 一,9
禍,calamity; misfortune; evil; curse,示,口 礻 冂,13
禾,two-branch tree radical (no. 115),禾,禾 木 ノ,5
稼,earnings; work; earn money,禾,禾 宀 豕,15
箇,counter for articles,竹,口 十 竹 囗 𠂉,14
花,flower,艸,亻 匕 艹,7
苛,torment; scold; chastise,艸,一 口 亅 艹,8
茄,eggplant,艸,口 力 艹,8
荷,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight,艸,亻 口 亅 艹 一,10
華,splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous,艸,｜ 一 艹,10
菓,candy; cakes; fruit,艸,田 木 艹,11
蝦,shrimp; prawn; lobster,虫,虫 又 口,15
課,chapter; lesson; section; department; division; counter for chapters (of a book),言,言 田 木,15
嘩,noisy,口,一 口 艹 ｜,13
貨,freight; goods; property,貝,亻 貝 目 ハ 匕,11
迦,(used phonetically),辵,口 辶 力,8
過,overdo; exceed; go beyond; error,辵,口 辶 冂,12
霞,be hazy; grow dim; blurred,雨,雨 又,17
蚊,mosquito,虫,虫 文,10
俄,sudden; abrupt; improvised,人,亻 亅 戈 手,9
峨,high mountain,山,山 亅 戈 手,10
我,ego; I; selfish; our; oneself,戈,亅 戈 手,7
牙,tusk; fang; tusk radical (no. 92),牙,牙,5
画,brush-stroke; picture,田,一 田 凵,8
臥,bend down; bow; lie prostrate,臣,臣 人,9
芽,bud; sprout; spear; germ,艸,牙 艹,8
蛾,moth,虫,虫 亅 戈 手,13
賀,congratulations; joy,貝,貝 目 ハ 口 力,12
雅,gracious; elegant; graceful; refined,隹,牙 隹,13
餓,starve; hungry; thirst,食,食 亅 戈 手,15
駕,vehicle; palanquin; litter; hitch up an animal,馬,口 馬 力 灬,15
介,jammed in; shellfish; mediate; concern oneself with,人,ハ 𠆢,4
会,meeting; meet; party; association; interview; join,人,二 𠆢 厶,6
解,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute,角,角 牛 刀,13
回,-times; round; game; revolve; counter for occurrences,囗,口 囗,6
塊,clod; lump; chunk; clot; mass,土,鬼 田 土 儿 匕 厶,13
壊,demolition; break; destroy,土,衣 十 土 罒 亠,16
廻,round; game; revolve; go around; circumference,廴,口 囗 廴,9
快,cheerful; pleasant; agreeable; comfortable,心,人 大 二 忄 ユ,7
怪,suspicious; mystery; apparition,心,土 忄 又,8
悔,repent; regret,心,母 忄 毋 ノ 一 人 𠂉,9
恢,wide; large; enlarge,心,火 厂 忄,9
懐,feelings; heart; yearn; miss someone; become attached to; bosom; breast; pocket,心,衣 十 罒 忄 亠,16
戒,commandment,戈,廾 戈,7
拐,kidnap; falsify,手,口 刀 扌,8
改,reformation; change; modify; mend; renew; examine; inspect; search,攴,已 攵 𠂉,7
魁,charging ahead of others,鬼,鬼 田 斗 儿 厶 匕,14
晦,dark; disappear,日,日 母 毋 𠂉,10
械,contraption; fetter; machine; instrument,木,木 廾 戈,11
海,sea; ocean,水,氵 母 毋 𠂉,9
灰,ashes; puckery juice; cremate,火,火 厂,6
界,world; boundary,田,田 𠆢 儿,9
皆,all; everything,白,白 比,9
絵,picture; drawing; painting; sketch,糸,糸 幺 小 二 𠆢 厶,12
芥,mustard; rape; dust; trash; rubbish,艸,𠆢 艹 儿,7
蟹,crab,虫,角 牛 虫 刀,19
開,open; unfold; unseal,門,一 門 廾 二 ノ,12
階,storey; stair; counter for storeys of a building,阜,白 比 阝,12
貝,shellfish,貝,貝 目 ハ,7
凱,victory song,几,口 山 豆 丷 几,12
劾,censure; criminal investigation,力,人 力 亠 ノ 丶,8
外,outside,夕,卜 夕,5
咳,cough; clear throat,口,口 人 亠 ノ 丶,9
害,harm; injury,宀,口 土 亠 宀 二,10
崖,cliff; bluff; precipice,山,山 土 厂,11
慨,rue; be sad; sigh; lament,心,牙 艮 忄,13
概,outline; condition; approximation; generally,木,牙 艮 木,14
涯,horizon; shore; limit; bound,水,氵 土 厂,11
碍,obstacle,石,口 寸 石 日 一,13
蓋,cover; lid; flap,艸,皿 土 厶 艹,13
街,boulevard; street; town,行,行 土 彳,12
該,above-stated; the said; that specific,言,言 人 亠 ノ 丶,13
鎧,put on armor; arm oneself,金,金 口 山 豆 丷,18
骸,bone; body; corpse,骨,月 骨 人 亠 冂 冖 ノ 丶,16
浬,knot; nautical mile,水,氵 里 田 土,10
馨,fragrant; balmy; favourable,香,禾 香 士 日 又 几 殳 尸,20
蛙,frog,虫,虫 土,12
垣,hedge; fence; wall,土,一 土 日,9
柿,persimmon,木,｜ 巾 木 亠 冂,9
蛎,oyster,虫,斤 虫 厂,11
鈎,hook; barb; gaff; brackets,金,金 勹 厶,12
劃,divide,刀,一 刂 田 聿,14
嚇,menacing; dignity; majesty; threaten,口,口 赤 土,17
各,each; every; either,口,口 夂 攵,6
廓,enclosure; quarter; red-light district,广,口 子 阝 亅 亠 广,14
拡,broaden; extend; expand; enlarge,手,厶 广 扌,8
撹,disturb; throw into confusion,手,見 ⺌ 冖 扌,15
格,"status; rank; capacity; character; case (law, grammar)",木,口 木 夂,10
核,nucleus; core; kernel,木,人 木 亠 ノ 丶,10
殻,husk; nut shell,殳,士 冖 殳 几 又,11
獲,seize; get; find; earn; acquire; can; may; able to,犬,犭 又 艹 隹,16
確,assurance; firm; tight; hard; solid; confirm; clear; evident,石,口 石 宀 隹,15
穫,harvest; reap,禾,禾 又 艹 隹,18
覚,memorize; learn; remember; awake; sober up,見,見 ⺌ 冖,12
角,angle; corner; square; horn; antlers,角,角 勹 月 ｜,7
赫,suddenly; brighten; illuminate; light up,赤,赤 土,14
較,contrast; compare,車,車 父 亠,13
郭,enclosure; quarters; fortification; red-light district,邑,口 阝 亅 亠 子,11
閣,tower; tall building; palace,門,口 門 夂,14
隔,isolate; alternate; distance; separate; gulf,阜,一 口 儿 冂 阝 鬲,13
革,leather; skin; reform; become serious,革,革 廾 口 十,9
学,study; learning; science,子,子 ⺌ 冖,8
岳,point; peak; mountain,山,山 斤 一,8
楽,music; comfort; ease,木,白 木 冫,13
額,forehead; tablet; plaque; framed picture; sum; amount; volume,頁,貝 目 ハ 口 頁 夂 宀,18
顎,jaw; chin; gill,頁,貝 目 ハ 口 頁 二 勹,18
掛,hang; suspend; depend; arrive at; tax; pour,手,土 卜 扌,11
笠,bamboo hat; one's influence,竹,竹 立 𠂉,11
樫,evergreen oak; (kokuji),木,臣 土 又 木,16
橿,oak,木,一 田 木,17
梶,sculling oar,木,毛 木 尸,11
鰍,bullhead,魚,火 禾 魚 田 灬,20
潟,lagoon,水,臼 氵 勹 灬,15
割,proportion; comparatively; divide; cut; separate; split,刀,刂 口 土 宀 亠 二,12
喝,hoarse; scold,口,口 日 勹 匕,11
恰,just as; as though; fortunately,心,口 忄 𠆢 一,9
括,fasten; tie up; arrest; constrict,手,ノ 口 十 舌 扌,9
活,lively; resuscitation; being helped; living,水,ノ 口 十 氵 舌,9
渇,thirst; dry up; parch,水,氵 日 勹 匕,11
滑,slippery; slide; slip; fail exam,水,月 骨 氵 冂 冖,13
葛,arrowroot; kudzu,艸,日 勹 匕 艹,11
褐,brown; woollen kimono,衣,衤 日 勹 匕,13
轄,control; wedge,車,口 車 土 亠 宀 二,17
且,moreover; also; furthermore,一,一 目,5
鰹,bonito,魚,魚 臣 田 土 又 灬,23
叶,grant; answer,口,口 十,5
椛,autumn foliage; birch; maple; (kokuji),木,亻 木 匕 艹,11
樺,birch; dark red,木,｜ 一 木 艹,14
鞄,suitcase; bag; briefcase,革,革 勹 已,14
株,stocks; stump; shares; stock; counter for small plants,木,牛 木,10
兜,helmet; head piece,儿,白 儿,11
竃,kitchen stove; furnace; oven; hearth,穴,亀 穴 土 宀 儿 乙 勹 田,17
蒲,bullrush; flag; cattail,艸,氵 用 丶 艹 十,13
釜,kettle; cauldron; iron pot,金,一 干 丷 父 王 丶 ノ 金,10
鎌,sickle; scythe; trick,金,金 王 丶 ノ ヨ 丷 ハ,18
噛,chew; bite; gnaw,口,口 止 歯 米,15
鴨,wild duck; easy mark,鳥,｜ 鳥 日 灬 田,16
栢,oak,木,一 白 木,10
茅,miscanthus reed,艸,矛 艹,8
萱,miscanthus reed,艸,一 日 宀 艹,12
粥,rice gruel,米,弓 米,12
刈,reap; cut; clip; trim; prune,刀,刂,4
苅,cutting (grass),艸,刂 艹,7
瓦,tile; gram,瓦,瓦 一,5
乾,drought; dry; desiccate; drink up; heaven; emperor,乙,乙 十 日 ノ 一 人 𠂉,11
侃,strong; just; righteous; peace-loving,人,亻 口 川,8
冠,crown; best; peerless,冖,寸 儿 冖 元,9
寒,cold,宀,一 ハ 宀 丶 井,12
刊,publish; carve; engrave,刀,刂 干,5
勘,intuition; perception; check; compare; sixth sense,力,力 匚 甘 儿,11
勧,persuade; recommend; advise; encourage; offer,力,ノ 力 隹 矢 𠂉,13
巻,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls),己,大 二 丷 已,9
喚,yell; cry; call; scream; summon,口,口 大 儿 冂 勹,12
堪,withstand; endure; support; resist,土,土 儿 匚 甘,12
姦,wicked; mischief; seduce; rape; noisy,女,女,9
完,perfect; completion; end,宀,二 儿 宀 元,7
官,bureaucrat; the government; organ,宀,口 宀 ｜,8
寛,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded,宀,見 宀 艹,13
干,dry; parch; ebb; recede; interfere; intercede,干,干 十 一,3
幹,tree trunk; main part; talent; capability,干,干 十 日 𠆢,13
患,afflicted; disease; suffer from; be ill,心,｜ 口 心,11
感,emotion; feeling; sensation,心,ノ 口 心 戈,13
慣,accustomed; get used to; become experienced,心,貝 目 ハ 母 忄 毋,14
憾,remorse; regret; be sorry,心,ノ 口 心 忄 戈,16
